shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S001,31.24984802052312,32.26957196373919,114,9258.2
S001,31.24975162661551,32.26967576790004,115,9272.77
S001,31.24964299209376,32.269770623426325,116,9287.84
S001,31.249520586849073,32.26979031042235,117,9301.58
S001,31.249249106,32.2694689035,118,9344.53
S001,31.24902407894809,32.26920149026857,119,9380.2
S001,31.248910088321878,32.2690601018426,120,9398.67
S001,31.2487904908,32.2689861059,121,9413.72
S001,31.248670376041527,32.26896107028684,122,9427.29
S001,31.248559190138938,32.26901714839672,123,9440.75
S001,31.2484602864,32.2691094875,124,9454.82
S001,31.2478090467,32.2702842951,125,9587.92
S001,31.2471211125,32.271502018,126,9726.68
S001,31.2467083496,32.2723066807,127,9815.88
S001,31.246185514,32.2732186317,128,9920.27
S001,31.24556263646647,32.274361252784736,129,10049.1
S001,31.244813474798434,32.27581811065932,130,10210.72
S001,31.244264661978452,32.27683467554488,131,10325.01
S001,31.243809695773074,32.277600678662886,132,10413.68
S001,31.243777052373623,32.27774624311832,133,10427.99
S001,31.243783173011874,32.27795862404512,134,10448.19
S001,31.24385662064002,32.2785408818669,135,10504.15
S001,31.243949450782004,32.27925432715544,136,10572.75
S001,31.244147525764596,32.28070808448261,137,10712.7
S001,31.244422929027955,32.28274583816529,138,10908.83
S001,31.2448508942,32.2858464718,139,11207.42
S001,31.245027694550494,32.28723895465536,140,11341.25
S001,31.24517458781393,32.288300859289336,141,11443.51
S001,31.24519090927354,32.288582442990034,142,11470.34
S001,31.245199070002293,32.28880675542957,143,11491.69
S001,31.2451031434,32.2892153263,144,11531.97
S001,31.244990971198938,32.289675369557145,145,11577.45
S001,31.244950167458242,32.289999906703706,146,11608.63
S001,31.244962408582303,32.2903005808248,147,11637.25
S001,31.2450664526,32.2911250591,148,11716.48
S002,31.252119134185545,32.2764104425998,1,0.0
S002,31.251567870436958,32.27592469745884,2,76.74
S002,31.25078449009944,32.27522683653579,3,186.24
S002,31.250633978780964,32.27509744590873,4,207.01
S002,31.250369223349395,32.275559858313656,5,259.91
S002,31.250142548588627,32.27595651482615,6,305.27
S002,31.250481653828835,32.27802464370143,7,505.45
S002,31.250531219911657,32.278245244114785,8,527.13
S002,31.250595293102116,32.27844463294995,9,547.38
S002,31.250760916053352,32.27879391693777,10,585.35
S002,31.25090417362722,32.278986235246855,11,609.6
S002,31.251107272599914,32.27913613039952,12,636.3
S002,31.251183434602034,32.279187038187224,13,646.06
S002,31.251241462752894,32.27923158250146,14,653.77
S002,31.251281961545384,32.27928743965741,15,660.74
