stop_id,stop_name,stop_lat,stop_lon
ELZARE_002,El Zahour Regular Stop 2,31.264464,32.287352
ELZARE_003,El Zahour Regular Stop 3,31.265412,32.285568
ELZARE_004,El Zahour Regular Stop 4,31.265896,32.283548
ELZARE_005,El Zahour Regular Stop 5,31.266283,32.281497
ELZARE_006,El Zahour Regular Stop 6,31.266826,32.279491
ELZARE_007,El Zahour Regular Stop 7,31.267375,32.277487
ELZARE_008,El Zahour Regular Stop 8,31.268704,32.277113
ELZARE_009,El Zahour Regular Stop 9,31.268043,32.276443
ELZARE_010,El Zahour Regular Stop 10,31.268609,32.274504
ELZARE_011,El Zahour Regular Stop 11,31.268285,32.274433
ELZARE_012,El Zahour Regular Stop 12,31.266599,32.273715
ELZARE_013,El Zahour Regular Stop 13,31.264928,32.272937
ELZARE_014,El Zahour Regular Stop 14,31.263262,32.272142
ELZARE_015,El Zahour Regular Stop 15,31.261915,32.270829
ELZARE_016,El Zahour Regular Stop 16,31.260845,32.269138
ELZARE_017,El Zahour Regular Stop 17,31.259805,32.267421
ELZARE_018,El Zahour Regular Stop 18,31.258748,32.265719
ELZARE_019,El Zahour Regular Stop 19,31.257693,32.264015
ELZARE_020,El Zahour Regular Stop 20,31.258073,32.262591
ELZARE_021,El Zahour Regular Stop 21,31.259550,32.261391
ELZARE_022,El Zahour Regular Stop 22,31.261008,32.260159
ELZARE_023,El Zahour Regular Stop 23,31.262470,32.258932
ELZARE_024,El Zahour Regular Stop 24,31.263935,32.257711
ELZARE_025,El Zahour Regular Stop 25,31.265249,32.257572
ELZARE_026,El Zahour Regular Stop 26,31.266294,32.259285
ELZARE_027,El Zahour Regular Stop 27,31.267353,32.260986
ELZARE_028,El Zahour Regular Stop 28,31.266986,32.260165
ELZARE_029,El Zahour Regular Stop 29,31.265936,32.258457
ELZARE_030,El Zahour Regular Stop 30,31.265059,32.256784
ELZARE_031,El Zahour Regular Stop 31,31.265664,32.256147
ELZARE_032,El Zahour Regular Stop 32,31.264199,32.257369
ELZARE_033,El Zahour Regular Stop 33,31.262735,32.258592
ELZARE_034,El Zahour Regular Stop 34,31.261265,32.259802
ELZARE_035,El Zahour Regular Stop 35,31.259781,32.260992
ELZARE_036,El Zahour Regular Stop 36,31.258321,32.262221
ELZARE_037,El Zahour Regular Stop 37,31.256850,32.263432
ELZARE_038,El Zahour Regular Stop 38,31.256731,32.263699
ELZARE_039,El Zahour Regular Stop 39,31.257906,32.264503
ELZARE_040,El Zahour Regular Stop 40,31.258958,32.266210
ELZARE_041,El Zahour Regular Stop 41,31.259848,32.267878
ELZARE_042,El Zahour Regular Stop 42,31.259750,32.268201
ELZARE_043,El Zahour Regular Stop 43,31.260870,32.269406
ELZARE_044,El Zahour Regular Stop 44,31.261966,32.271074
ELZARE_045,El Zahour Regular Stop 45,31.263353,32.272323
ELZARE_046,El Zahour Regular Stop 46,31.265019,32.273116
ELZARE_047,El Zahour Regular Stop 47,31.266643,32.273957
ELZARE_048,El Zahour Regular Stop 48,31.267412,32.275798
ELZARE_049,El Zahour Regular Stop 49,31.267134,32.277830
ELZARE_050,El Zahour Regular Stop 50,31.266596,32.279838
ELZARE_051,El Zahour Regular Stop 51,31.266063,32.281848
ELZARE_052,El Zahour Regular Stop 52,31.265681,32.283903
ELZARE_053,El Zahour Regular Stop 53,31.265157,32.285910
ELZARE_054,El Zahour Regular Stop 54,31.264151,32.287652
ELZARE_055,El Zahour Regular Stop 55,31.263190,32.289352
ELZARE_056,El Zahour Regular Stop 56,31.262089,32.290852
ELZARE_057,El Zahour Regular Stop 57,31.260573,32.289718
ELZARE_058,El Zahour Regular Stop 58,31.259498,32.291306
ELZARE_059,El Zahour Regular Stop 59,31.258488,32.293048
ELZARE_060,El Zahour Regular Stop 60,31.259561,32.294307
ELZARE_061,El Zahour Regular Stop 61,31.260726,32.293782
ELZARE_062,El Zahour Regular Stop 62,31.261693,32.292008
ELZARE_063,El Zahour Regular Stop 63,31.262809,32.290384
ELZARE_064,El Zahour Regular Stop 64,31.263448,32.289224
ELZAOU_001,El Zahour Outer Stop 1,31.263656,32.288860
ELZAOU_002,El Zahour Outer Stop 2,31.264581,32.287152
ELZAOU_003,El Zahour Outer Stop 3,31.265492,32.285346
ELZAOU_004,El Zahour Outer Stop 4,31.265920,32.283311
ELZAOU_005,El Zahour Outer Stop 5,31.266340,32.281268
ELZAOU_006,El Zahour Outer Stop 6,31.267249,32.280076
ELZAOU_007,El Zahour Outer Stop 7,31.267786,32.280101
ELZAOU_008,El Zahour Outer Stop 8,31.266065,32.279492
ELZAOU_009,El Zahour Outer Stop 9,31.264343,32.278881
ELZAOU_010,El Zahour Outer Stop 10,31.262626,32.278256
ELZAOU_011,El Zahour Outer Stop 11,31.260908,32.277631
ELZAOU_012,El Zahour Outer Stop 12,31.259518,32.276404
ELZAOU_013,El Zahour Outer Stop 13,31.258449,32.274712
ELZAOU_014,El Zahour Outer Stop 14,31.257388,32.273013
ELZAOU_015,El Zahour Outer Stop 15,31.256327,32.271314
ELZAOU_016,El Zahour Outer Stop 16,31.255289,32.269596
ELZAOU_017,El Zahour Outer Stop 17,31.254242,32.267885
ELZAOU_018,El Zahour Outer Stop 18,31.253667,32.266266
ELZAOU_019,El Zahour Outer Stop 19,31.255119,32.265025
ELZAOU_020,El Zahour Outer Stop 20,31.256592,32.263817
ELZAOU_021,El Zahour Outer Stop 21,31.258060,32.262602
ELZAOU_022,El Zahour Outer Stop 22,31.259540,32.261407
ELZAOU_023,El Zahour Outer Stop 23,31.260997,32.260172
ELZAOU_024,El Zahour Outer Stop 24,31.262457,32.258943
ELZAOU_025,El Zahour Outer Stop 25,31.263922,32.257722
ELZAOU_026,El Zahour Outer Stop 26,31.265238,32.257563
ELZAOU_027,El Zahour Outer Stop 27,31.266290,32.259270
ELZAOU_028,El Zahour Outer Stop 28,31.267342,32.260976
ELZAOU_029,El Zahour Outer Stop 29,31.266982,32.260160
ELZAOU_030,El Zahour Outer Stop 30,31.265928,32.258455
ELZAOU_031,El Zahour Outer Stop 31,31.264878,32.256813
ELZAOU_032,El Zahour Outer Stop 32,31.263407,32.258024
ELZAOU_033,El Zahour Outer Stop 33,31.261939,32.259240
ELZAOU_034,El Zahour Outer Stop 34,31.260466,32.260446
ELZAOU_035,El Zahour Outer Stop 35,31.258995,32.261657
ELZAOU_036,El Zahour Outer Stop 36,31.257532,32.262881
ELZAOU_037,El Zahour Outer Stop 37,31.256059,32.264088
ELZAOU_038,El Zahour Outer Stop 38,31.254582,32.265289
ELZAOU_039,El Zahour Outer Stop 39,31.253174,32.266137
ELZAOU_040,El Zahour Outer Stop 40,31.252141,32.264415
ELZAOU_041,El Zahour Outer Stop 41,31.251647,32.263878
ELZAOU_042,El Zahour Outer Stop 42,31.252683,32.265598
ELZAOU_043,El Zahour Outer Stop 43,31.253730,32.267308
ELZAOU_044,El Zahour Outer Stop 44,31.254772,32.269022
ELZAOU_045,El Zahour Outer Stop 45,31.255809,32.270741
ELZAOU_046,El Zahour Outer Stop 46,31.256869,32.272441
ELZAOU_047,El Zahour Outer Stop 47,31.257939,32.274133
ELZAOU_048,El Zahour Outer Stop 48,31.259005,32.275827
ELZAOU_049,El Zahour Outer Stop 49,31.260145,32.277439
ELZAOU_050,El Zahour Outer Stop 50,31.261843,32.278126
ELZAOU_051,El Zahour Outer Stop 51,31.263560,32.278751
ELZAOU_052,El Zahour Outer Stop 52,31.265278,32.279373
ELZAOU_053,El Zahour Outer Stop 53,31.266468,32.280322
ELZAOU_054,El Zahour Outer Stop 54,31.265953,32.282337
ELZAOU_055,El Zahour Outer Stop 55,31.265586,32.284398
ELZAOU_056,El Zahour Outer Stop 56,31.264921,32.286335
